date,MLY-PRCP-NORMAL,temp_max,temp_min,wind,weather,MONTH
01/01/2012,0,12.8,5,4.7,drizzle,Jan
02/01/2012,10.9,10.6,2.8,4.5,rain,Feb
03/01/2012,0.8,11.7,7.2,2.3,rain,Mar
04/01/2012,20.3,12.2,5.6,4.7,rain,Apr
05/01/2012,1.3,8.9,2.8,6.1,rain,May
06/01/2012,2.5,4.4,2.2,2.2,rain,Jun
07/01/2012,0,7.2,2.8,2.3,rain,Jul
08/01/2012,0,10,2.8,2,sun,Aug
09/01/2012,4.3,9.4,5,3.4,rain,Sep
10/01/2012,1,6.1,0.6,3.4,rain,Oct
11/01/2012,0,6.1,-1.1,5.1,sun,Nov
12/01/2012,0,6.1,-1.7,1.9,sun,Dec
13/01/2012,0,5,-2.8,1.3,sun,Jan
14/01/2012,4.1,4.4,0.6,5.3,snow,Feb
15/01/2012,5.3,1.1,-3.3,3.2,snow,Mar
16/01/2012,2.5,1.7,-2.8,5,snow,Apr
17/01/2012,8.1,3.3,0,5.6,snow,May
18/01/2012,19.8,0,-2.8,5,snow,Jun
